------- Iteracion 0 --------
Original,Colision,Equivalente,Hash
987654,269323,0,0
123456,762419,0,0
937586,546977,0,0
998263,288017,0,0
712874,757887,0,0
728471,325352,0,0
876543,977939,0,0
238745,329801,0,0
665534,519471,665534,2097854040
918237,759076,0,0
564738,863746,0,0
163937,171636,0,0
228844,785010,0,0
947264,671042,0,0
------- Iteracion 27 --------
Original,Colision,Equivalente,Hash
456789,076178,0,0
987654,612215,0,0
123456,673430,0,0
937586,410319,0,0
998263,055070,0,0
712874,654816,0,0
728471,571668,0,0
876543,768975,0,0
238745,750678,0,0
665534,471218,665534,2097854040
918237,016515,0,0
564738,618827,0,0
163937,050589,0,0
228844,419046,0,0
947264,925336,0,0
------- Iteracion 28 --------
Original,Colision,Equivalente,Hash
456789,014054,0,0
987654,679837,0,0
123456,907050,0,0
937586,865681,0,0
998263,986722,0,0
712874,817221,0,0
728471,975869,0,0
876543,776301,0,0
238745,276351,0,0
665534,412945,665534,2097854040
918237,701437,0,0
564738,453491,0,0
163937,794417,0,0
228844,737460,0,0
947264,538072,0,0
------- Iteracion 29 --------
Original,Colision,Equivalente,Hash
456789,984180,0,0
987654,469433,0,0
123456,881053,0,0
937586,139944,0,0
998263,971130,0,0
712874,402020,0,0
728471,288803,0,0
876543,605032,0,0
238745,107680,0,0
665534,530963,665534,2097854040
918237,494767,0,0
564738,106966,0,0
163937,987619,0,0
228844,957264,0,0
947264,162637,0,0
------- Iteracion 30 --------
Original,Colision,Equivalente,Hash
456789,121312,0,0
987654,875284,0,0
123456,537611,0,0
937586,520481,0,0
998263,013178,0,0
712874,476106,0,0
728471,629072,0,0
876543,314448,0,0
238745,553115,0,0
665534,812196,665534,2097854040
918237,562587,0,0
564738,348666,0,0
163937,789097,0,0
228844,876319,0,0
947264,816919,0,0
------- Iteracion 31 --------
Original,Colision,Equivalente,Hash
456789,541858,0,0
987654,435830,0,0
123456,684370,0,0
937586,823423,0,0
998263,740831,0,0
712874,265680,0,0
728471,170691,0,0
876543,611483,0,0
238745,515155,0,0
665534,655884,665534,2097854040
918237,098339,0,0
564738,267363,0,0
163937,706412,0,0
228844,135929,0,0
947264,038102,0,0
------- Iteracion 32 --------
Original,Colision,Equivalente,Hash
456789,599189,0,0
987654,859732,0,0
123456,918250,0,0
937586,330662,0,0
998263,288017,0,0
712874,869380,0,0
728471,124467,0,0
876543,025452,0,0
238745,158439,0,0
665534,776276,665534,2097854040
918237,117872,0,0
564738,281782,0,0
163937,050589,0,0
228844,711880,0,0
947264,830375,0,0
------- Iteracion 33 --------
Original,Colision,Equivalente,Hash
456789,961411,0,0
987654,017282,0,0
123456,412195,0,0
937586,546977,0,0
998263,934204,0,0
712874,830087,0,0
728471,756073,0,0
876543,892512,0,0
238745,966703,0,0
665534,530963,665534,2097854040
918237,059008,0,0
564738,933021,0,0
163937,917186,0,0
228844,771689,0,0
947264,156956,0,0
------- Iteracion 34 --------
Original,Colision,Equivalente,Hash
456789,882502,0,0
987654,434148,0,0
123456,883927,0,0
937586,781320,0,0
998263,092318,0,0
712874,088246,0,0
728471,122789,0,0
876543,618597,0,0
238745,008471,0,0
